id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,verify,Mock  Server  Event  Log,Future  String,,verify,Mock  Server  Event  Log,logger  request  Log  Predicate  request  Response  Log  Predicate  recorded  Expectation  Log  Predicate  log  Entry  To  Request  log  Entry  To  Expectation  log  Entry  To  Http  Request  And  Http  Response  excluded  fields  mock  Server  Logger  event  Log  matcher  Builder  http  Request  Serializer  asynchronous  Event  Processing  disruptor,Mock  Server  Event  Log  add  start  Ring  Buffer  handle  Event  Exception  handle  On  Start  Exception  handle  On  Shutdown  Exception  process  Log  Entry  stop  reset  clear  retrieve  Message  Log  Entries  retrieve  Request  Log  Entries  retrieve  Requests  retrieve  Request  Response  Message  Log  Entries  retrieve  Request  Responses  retrieve  Recorded  Expectation  Log  Entries  retrieve  Recorded  Expectations  retrieve  Log  Entries  retrieve  Log  Entries  retrieve  Log  Entries  In  Reverse  verify  verify  fields  Excluded  From  Equals  And  Hash  Code,Mock  Server  Logger  Scheduler  boolean  Log  Entry  Throwable  long  Log  Entry  Throwable  Throwable  Log  Entry  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Event  Request  And  Response  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Expectation  Http  Request  Predicate  Log  Entry  Consumer  Stream  Log  Entry  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String,Verification,http  Request  times,verification  with  Request  get  Http  Request  with  Times  get  Times,Http  Request  Verification  Times  Mock  Server  Event  Log,0,0
1,verify,Mock  Server  Event  Log,Future  String,,verify,Verification,http  Request  times,verification  with  Request  get  Http  Request  with  Times  get  Times,Http  Request  Verification  Times  Mock  Server  Event  Log,Mock  Server  Event  Log,logger  request  Log  Predicate  request  Response  Log  Predicate  recorded  Expectation  Log  Predicate  log  Entry  To  Request  log  Entry  To  Expectation  log  Entry  To  Http  Request  And  Http  Response  excluded  fields  mock  Server  Logger  event  Log  matcher  Builder  http  Request  Serializer  asynchronous  Event  Processing  disruptor,Mock  Server  Event  Log  add  start  Ring  Buffer  handle  Event  Exception  handle  On  Start  Exception  handle  On  Shutdown  Exception  process  Log  Entry  stop  reset  clear  retrieve  Message  Log  Entries  retrieve  Request  Log  Entries  retrieve  Requests  retrieve  Request  Response  Message  Log  Entries  retrieve  Request  Responses  retrieve  Recorded  Expectation  Log  Entries  retrieve  Recorded  Expectations  retrieve  Log  Entries  retrieve  Log  Entries  retrieve  Log  Entries  In  Reverse  verify  verify  fields  Excluded  From  Equals  And  Hash  Code,Mock  Server  Logger  Scheduler  boolean  Log  Entry  Throwable  long  Log  Entry  Throwable  Throwable  Log  Entry  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Event  Request  And  Response  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Expectation  Http  Request  Predicate  Log  Entry  Consumer  Stream  Log  Entry  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String,1,1
2,verify,Mock  Server  Event  Log,Future  String,,verify,Mock  Server  Event  Log,logger  request  Log  Predicate  request  Response  Log  Predicate  recorded  Expectation  Log  Predicate  log  Entry  To  Request  log  Entry  To  Expectation  log  Entry  To  Http  Request  And  Http  Response  excluded  fields  mock  Server  Logger  event  Log  matcher  Builder  http  Request  Serializer  asynchronous  Event  Processing  disruptor,Mock  Server  Event  Log  add  start  Ring  Buffer  handle  Event  Exception  handle  On  Start  Exception  handle  On  Shutdown  Exception  process  Log  Entry  stop  reset  clear  retrieve  Message  Log  Entries  retrieve  Request  Log  Entries  retrieve  Requests  retrieve  Request  Response  Message  Log  Entries  retrieve  Request  Responses  retrieve  Recorded  Expectation  Log  Entries  retrieve  Recorded  Expectations  retrieve  Log  Entries  retrieve  Log  Entries  retrieve  Log  Entries  In  Reverse  verify  verify  fields  Excluded  From  Equals  And  Hash  Code,Mock  Server  Logger  Scheduler  boolean  Log  Entry  Throwable  long  Log  Entry  Throwable  Throwable  Log  Entry  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Event  Request  And  Response  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Expectation  Http  Request  Predicate  Log  Entry  Consumer  Stream  Log  Entry  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String,Verification  Sequence,http  Requests,verification  Sequence  with  Requests  with  Requests  get  Http  Requests,Http  Request  List  Http  Request,0,0
3,verify,Mock  Server  Event  Log,Future  String,,verify,Verification  Sequence,http  Requests,verification  Sequence  with  Requests  with  Requests  get  Http  Requests,Http  Request  List  Http  Request,Mock  Server  Event  Log,logger  request  Log  Predicate  request  Response  Log  Predicate  recorded  Expectation  Log  Predicate  log  Entry  To  Request  log  Entry  To  Expectation  log  Entry  To  Http  Request  And  Http  Response  excluded  fields  mock  Server  Logger  event  Log  matcher  Builder  http  Request  Serializer  asynchronous  Event  Processing  disruptor,Mock  Server  Event  Log  add  start  Ring  Buffer  handle  Event  Exception  handle  On  Start  Exception  handle  On  Shutdown  Exception  process  Log  Entry  stop  reset  clear  retrieve  Message  Log  Entries  retrieve  Request  Log  Entries  retrieve  Requests  retrieve  Request  Response  Message  Log  Entries  retrieve  Request  Responses  retrieve  Recorded  Expectation  Log  Entries  retrieve  Recorded  Expectations  retrieve  Log  Entries  retrieve  Log  Entries  retrieve  Log  Entries  In  Reverse  verify  verify  fields  Excluded  From  Equals  And  Hash  Code,Mock  Server  Logger  Scheduler  boolean  Log  Entry  Throwable  long  Log  Entry  Throwable  Throwable  Log  Entry  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Http  Request  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Log  Event  Request  And  Response  Http  Request  Consumer  List  Log  Entry  Http  Request  Consumer  List  Expectation  Http  Request  Predicate  Log  Entry  Consumer  Stream  Log  Entry  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Http  Request  Predicate  Log  Entry  t  Consumer  Stream  T  Verification  Consumer  String  Verification  Sequence  Verification  Sequence  Consumer  String,1,0
4,set  Header  If  Not  Already  Exists,String  String  C  O  R  S  Headers,void,,is  Empty  get  First  Header  with  Header,C  O  R  S  Headers,any  origin  null  origin  cors  Allow  Headers  cors  Allow  Methods  cors  Allow  Credentials  cors  Max  Age,C  O  R  S  Headers  is  Preflight  Request  add  C  O  R  S  Headers,Http  Request  Http  Request  Http  Response,Http  Response,status  Code  reason  Phrase  body  headers  cookies  connection  Options,response  response  not  Found  Response  with  Status  Code  get  Status  Code  with  Reason  Phrase  get  Reason  Phrase  with  Body  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  replace  Header  get  Header  List  get  Header  Multimap  get  Header  get  First  Header  contains  Header  remove  Header  remove  Header  contains  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  get  Cookie  Map  cookie  Heade  Does  Not  Already  Exists  cookie  Heade  Does  Not  Already  Exists  with  Connection  Options  get  Connection  Options  get  Type  clone  update,String  Integer  String  String  String  Charset  String  Media  Type  byte  Body  With  Content  Type  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  String  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Cookie  String  String  Connection  Options  Http  Response  String  String  C  O  R  S  Headers,0,0
5,set  Header  If  Not  Already  Exists,String  String  C  O  R  S  Headers,void,,is  Empty  get  First  Header  with  Header,Http  Response,status  Code  reason  Phrase  body  headers  cookies  connection  Options,response  response  not  Found  Response  with  Status  Code  get  Status  Code  with  Reason  Phrase  get  Reason  Phrase  with  Body  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  replace  Header  get  Header  List  get  Header  Multimap  get  Header  get  First  Header  contains  Header  remove  Header  remove  Header  contains  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  get  Cookie  Map  cookie  Heade  Does  Not  Already  Exists  cookie  Heade  Does  Not  Already  Exists  with  Connection  Options  get  Connection  Options  get  Type  clone  update,String  Integer  String  String  String  Charset  String  Media  Type  byte  Body  With  Content  Type  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  String  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Cookie  String  String  Connection  Options  Http  Response  String  String  C  O  R  S  Headers,C  O  R  S  Headers,any  origin  null  origin  cors  Allow  Headers  cors  Allow  Methods  cors  Allow  Credentials  cors  Max  Age,C  O  R  S  Headers  is  Preflight  Request  add  C  O  R  S  Headers,Http  Request  Http  Request  Http  Response,1,1
6,not  Found  Future,Http  Forward  Action,Http  Forward  Action  Result,,complete  not  Found  Response,Http  Forward  Action,mock  Server  Logger  http  Client  hop  By  Hop  Header  Filter,Http  Forward  Action  send  Request,Mock  Server  Logger  Netty  Http  Client  Http  Request  Inet  Socket  Address  Http  Response,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,0,0
7,not  Found  Future,Http  Forward  Action,Http  Forward  Action  Result,,complete  not  Found  Response,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,Http  Forward  Action,mock  Server  Logger  http  Client  hop  By  Hop  Header  Filter,Http  Forward  Action  send  Request,Mock  Server  Logger  Netty  Http  Client  Http  Request  Inet  Socket  Address  Http  Response,1,1
8,contains,Http  Request,boolean,http  Request,equals,Expectation,excluded  Fields  expectation  counter  start  time  id  created  priority  http  Request  times  time  To  Live  http  Response  http  Response  Template  http  Response  Class  Callback  http  Response  Object  Callback  http  Forward  http  Forward  Template  http  Forward  Class  Callback  http  Forward  Object  Callback  http  Override  Forwarded  Request  http  Error  expectation  priority  comparator,when  when  when  when  Expectation  Expectation  with  Id  get  Id  get  Priority  with  Created  get  Created  get  Http  Request  get  Http  Response  get  Http  Response  Template  get  Http  Response  Class  Callback  get  Http  Response  Object  Callback  get  Http  Forward  get  Http  Forward  Template  get  Http  Forward  Class  Callback  get  Http  Forward  Object  Callback  get  Http  Override  Forwarded  Request  get  Http  Error  get  Action  get  Times  get  Time  To  Live  then  Respond  then  Respond  then  Respond  then  Respond  then  Forward  then  Forward  then  Forward  then  Forward  then  Forward  then  Error  validation  Errors  is  Active  has  Remaining  Matches  is  Still  Alive  decrement  Remaining  Matches  clone  fields  Excluded  From  Equals  And  Hash  Code,Http  Request  Http  Request  Integer  Http  Request  Times  Time  To  Live  Http  Request  Times  Time  To  Live  Integer  Http  Request  Http  Request  Times  Time  To  Live  Integer  String  long  Http  Response  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Forward  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Override  Forwarded  Request  Http  Error  String  Action  Type  Http  Request,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update  not  Found  Future,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,0,0
9,contains,Http  Request,boolean,http  Request,equals,Http  Request,method  path  query  String  Parameters  body  headers  cookies  keep  Alive  secure  socket  Address,request  request  is  Keep  Alive  with  Keep  Alive  is  Secure  with  Secure  get  Socket  Address  with  Socket  Address  with  Socket  Address  with  Method  with  Method  get  Method  get  Method  with  Path  with  Path  get  Path  matches  matches  get  Query  String  Parameters  get  Or  Create  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameters  with  Query  String  Parameter  with  Query  String  Parameter  with  Query  String  Parameter  get  Query  String  Parameter  List  has  Query  String  Parameter  has  Query  String  Parameter  get  First  Query  String  Parameter  with  Body  with  Body  with  Body  with  Body  get  Body  get  Body  As  Raw  Bytes  get  Body  As  String  get  Headers  get  Or  Create  Headers  with  Headers  with  Headers  with  Headers  with  Header  with  Header  with  Header  with  Content  Type  replace  Header  get  Header  List  get  Header  get  First  Header  contains  Header  contains  Header  remove  Header  remove  Header  get  Cookies  get  Or  Create  Cookies  with  Cookies  with  Cookies  with  Cookies  with  Cookie  with  Cookie  with  Cookie  get  Cookie  List  socket  Address  From  Host  Header  clone  update  not  Found  Future,String  Boolean  Boolean  Socket  Address  String  Integer  Socket  Address  Scheme  String  Nottable  String  String  String  Nottable  String  String  String  String  Parameters  List  Parameter  Parameter  List  String  Parameter  String  String  Nottable  String  Nottable  String  String  String  Nottable  String  Nottable  String  String  String  String  Charset  byte  Body  Headers  List  Header  Header  Header  String  String  Nottable  String  Nottable  String  Media  Type  Header  String  String  String  String  String  String  Nottable  String  Cookies  List  Cookie  Cookie  Cookie  String  String  Nottable  String  Nottable  String  Http  Request  Http  Forward  Action,Expectation,excluded  Fields  expectation  counter  start  time  id  created  priority  http  Request  times  time  To  Live  http  Response  http  Response  Template  http  Response  Class  Callback  http  Response  Object  Callback  http  Forward  http  Forward  Template  http  Forward  Class  Callback  http  Forward  Object  Callback  http  Override  Forwarded  Request  http  Error  expectation  priority  comparator,when  when  when  when  Expectation  Expectation  with  Id  get  Id  get  Priority  with  Created  get  Created  get  Http  Request  get  Http  Response  get  Http  Response  Template  get  Http  Response  Class  Callback  get  Http  Response  Object  Callback  get  Http  Forward  get  Http  Forward  Template  get  Http  Forward  Class  Callback  get  Http  Forward  Object  Callback  get  Http  Override  Forwarded  Request  get  Http  Error  get  Action  get  Times  get  Time  To  Live  then  Respond  then  Respond  then  Respond  then  Respond  then  Forward  then  Forward  then  Forward  then  Forward  then  Forward  then  Error  validation  Errors  is  Active  has  Remaining  Matches  is  Still  Alive  decrement  Remaining  Matches  clone  fields  Excluded  From  Equals  And  Hash  Code,Http  Request  Http  Request  Integer  Http  Request  Times  Time  To  Live  Http  Request  Times  Time  To  Live  Integer  Http  Request  Http  Request  Times  Time  To  Live  Integer  String  long  Http  Response  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Forward  Http  Template  Http  Class  Callback  Http  Object  Callback  Http  Override  Forwarded  Request  Http  Error  String  Action  Type  Http  Request,1,0
