id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,parse,Xml  Pull  Parser  int  Roster  Packet  Provider,Roster  Packet,,get  Attribute  Value  set  Version  next  get  Name  parse  Item  add  Roster  Item  get  Name  get  Depth,Roster  Packet  Provider,instance,parse  Item,Xml  Environment,empty  namespace  language  next  effective  Namespace  Determined  effective  Language  Determined  effective  Namespace  effective  Language  to  String  Cache  Builder  namespace  language  next,Xml  Environment  Xml  Environment  Xml  Environment  Xml  Environment  get  Namespace  get  Effective  Namespace  get  Effective  Namespace  Or  Use  effective  Namespace  Equals  get  Language  get  Effective  Language  effective  Language  Equals  to  String  from  from  builder  with  Namespace  with  Language  with  Next  with  build,0,0
1,parse,Xml  Pull  Parser  int  Roster  Packet  Provider,Roster  Packet,,get  Attribute  Value  set  Version  next  get  Name  parse  Item  add  Roster  Item  get  Name  get  Depth,Xml  Environment,empty  namespace  language  next  effective  Namespace  Determined  effective  Language  Determined  effective  Namespace  effective  Language  to  String  Cache  Builder  namespace  language  next,Xml  Environment  Xml  Environment  Xml  Environment  Xml  Environment  get  Namespace  get  Effective  Namespace  get  Effective  Namespace  Or  Use  effective  Namespace  Equals  get  Language  get  Effective  Language  effective  Language  Equals  to  String  from  from  builder  with  Namespace  with  Language  with  Next  with  build,Roster  Packet  Provider,instance,parse  Item,1,1
2,ensure  Not  On  Our  Way  To  Authenticated  And  Resource  Bound,State,void,,is  Final  State  Authenticated  And  Resource  Bound,State,state  Descriptor  connection  Internal,State  is  Transition  To  Possible  transition  Into  get  State  Descriptor  reset  State  to  String,Walk  State  Graph  Context,initial  State  Class  final  State  Class  mandatory  Intermediate  State  login  Context  walked  State  Graph  Path  failed  States  mandatory  Intermediate  State  Handled  Builder  initial  State  Class  final  State  Class  mandatory  Intermediate  State  login  Context,Walk  State  Graph  Context  record  Walk  To  is  Walks  Final  State  is  Final  State  Authenticated  And  Resource  Bound  maybe  Return  Mandatory  Immediate  State  get  Walk  get  Walk  Length  append  Walk  To  get  Login  Context  state  Already  Visited  record  Failed  State  get  Failed  States  would  Cause  Cycle  would  Cycle  Recursive  builder  Builder  with  Mandatory  Intermediate  State  with  Login  Context  with  Login  Context  build,0,0
3,ensure  Not  On  Our  Way  To  Authenticated  And  Resource  Bound,State,void,,is  Final  State  Authenticated  And  Resource  Bound,Walk  State  Graph  Context,initial  State  Class  final  State  Class  mandatory  Intermediate  State  login  Context  walked  State  Graph  Path  failed  States  mandatory  Intermediate  State  Handled  Builder  initial  State  Class  final  State  Class  mandatory  Intermediate  State  login  Context,Walk  State  Graph  Context  record  Walk  To  is  Walks  Final  State  is  Final  State  Authenticated  And  Resource  Bound  maybe  Return  Mandatory  Immediate  State  get  Walk  get  Walk  Length  append  Walk  To  get  Login  Context  state  Already  Visited  record  Failed  State  get  Failed  States  would  Cause  Cycle  would  Cycle  Recursive  builder  Builder  with  Mandatory  Intermediate  State  with  Login  Context  with  Login  Context  build,State,state  Descriptor  connection  Internal,State  is  Transition  To  Possible  transition  Into  get  State  Descriptor  reset  State  to  String,1,1
4,encrypt,String  Omemo  Manager,Omemo  Message  Sent,,multi  User  Chat  Supports  Omemo  get  Occupants  add  as  Bare  Jid  get  Jid  get  Occupant  encrypt,Omemo  Manager,logger  unknown  device  id  instances  service  omemo  Message  Listeners  omemo  Muc  Message  Listeners  pep  Manager  trust  Callback  own  Jid  device  Id  pep  Omemo  Device  List  Event  Listener  Logged  In  Omemo  Manager  manager,Omemo  Manager  authenticated  get  Instance  For  get  Instance  For  set  Trust  Callback  get  Trust  Callback  initialize  initialize  Async  run  get  Devices  Of  encrypt  decrypt  decrypt  Mam  Query  Result  trust  Omemo  Identity  distrust  Omemo  Identity  is  Trusted  Omemo  Identity  is  Decided  Omemo  Identity  send  Ratchet  Update  Message  contact  Supports  Omemo  multi  User  Chat  Supports  Omemo  server  Supports  Omemo  get  Own  Fingerprint  get  Fingerprint  get  Active  Fingerprints  add  Omemo  Message  Listener  remove  Omemo  Message  Listener  add  Omemo  Muc  Message  Listener  remove  Omemo  Muc  Message  Listener  request  Device  List  Update  For  purge  Device  List  rotate  Signed  Pre  Key  stanza  Contains  Omemo  Element  throw  If  No  Service  Set  random  Device  Id  get  Own  Jid  get  Device  Id  get  Own  Device  set  Device  Id  notify  Omemo  Message  Received  notify  Omemo  Muc  Message  Received  notify  Omemo  Carbon  Copy  Received  resume  Stanza  And  P  E  P  Listeners  stop  Stanza  And  P  E  P  Listeners  rebuild  Session  With  get  Connection  get  Omemo  Service  internal  Omemo  Message  Stanza  Listener  run  internal  Omemo  Carbon  Copy  Listener  run  run  is  Omemo  Message  Logged  In  Omemo  Manager  get  initialization  Finished  initialization  Failed  init  Bare  Jid  And  Device  Id,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  send  Configuration  Form  get  Registration  Form  send  Registration  Form  destroy  invite  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,0,0
5,encrypt,String  Omemo  Manager,Omemo  Message  Sent,,multi  User  Chat  Supports  Omemo  get  Occupants  add  as  Bare  Jid  get  Jid  get  Occupant  encrypt,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  send  Configuration  Form  get  Registration  Form  send  Registration  Form  destroy  invite  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,Omemo  Manager,logger  unknown  device  id  instances  service  omemo  Message  Listeners  omemo  Muc  Message  Listeners  pep  Manager  trust  Callback  own  Jid  device  Id  pep  Omemo  Device  List  Event  Listener  Logged  In  Omemo  Manager  manager,Omemo  Manager  authenticated  get  Instance  For  get  Instance  For  set  Trust  Callback  get  Trust  Callback  initialize  initialize  Async  run  get  Devices  Of  encrypt  decrypt  decrypt  Mam  Query  Result  trust  Omemo  Identity  distrust  Omemo  Identity  is  Trusted  Omemo  Identity  is  Decided  Omemo  Identity  send  Ratchet  Update  Message  contact  Supports  Omemo  multi  User  Chat  Supports  Omemo  server  Supports  Omemo  get  Own  Fingerprint  get  Fingerprint  get  Active  Fingerprints  add  Omemo  Message  Listener  remove  Omemo  Message  Listener  add  Omemo  Muc  Message  Listener  remove  Omemo  Muc  Message  Listener  request  Device  List  Update  For  purge  Device  List  rotate  Signed  Pre  Key  stanza  Contains  Omemo  Element  throw  If  No  Service  Set  random  Device  Id  get  Own  Jid  get  Device  Id  get  Own  Device  set  Device  Id  notify  Omemo  Message  Received  notify  Omemo  Muc  Message  Received  notify  Omemo  Carbon  Copy  Received  resume  Stanza  And  P  E  P  Listeners  stop  Stanza  And  P  E  P  Listeners  rebuild  Session  With  get  Connection  get  Omemo  Service  internal  Omemo  Message  Stanza  Listener  run  internal  Omemo  Carbon  Copy  Listener  run  run  is  Omemo  Message  Logged  In  Omemo  Manager  get  initialization  Finished  initialization  Failed  init  Bare  Jid  And  Device  Id,1,1
6,add  Roster  Entry,Roster  Exchange,void,,get  Groups  add  get  Name  to  Array  size  get  Jid  get  Name  add  Roster  Entry,Roster  Exchange,remote  Roster  Entries,Roster  Exchange  Roster  Exchange  get  Element  Name  get  Namespace  get  Roster  Entries  get  Entry  Count  to  X  M  L,Roster  Entry,item  roster,Roster  Entry  get  User  get  Jid  get  Name  set  Name  update  Item  is  Approved  get  Groups  get  Type  is  Subscription  Pending  can  See  My  Presence  can  See  His  Presence  cancel  Subscription  to  String  hash  Code  equals  equals  Deep  to  Roster  Item  to  Roster  Item  to  Roster  Item  to  Roster  Item,0,0
7,add  Roster  Entry,Roster  Exchange,void,,get  Groups  add  get  Name  to  Array  size  get  Jid  get  Name  add  Roster  Entry,Roster  Entry,item  roster,Roster  Entry  get  User  get  Jid  get  Name  set  Name  update  Item  is  Approved  get  Groups  get  Type  is  Subscription  Pending  can  See  My  Presence  can  See  His  Presence  cancel  Subscription  to  String  hash  Code  equals  equals  Deep  to  Roster  Item  to  Roster  Item  to  Roster  Item  to  Roster  Item,Roster  Exchange,remote  Roster  Entries,Roster  Exchange  Roster  Exchange  get  Element  Name  get  Namespace  get  Roster  Entries  get  Entry  Count  to  X  M  L,1,1
8,send  Configuration  Form,Fillable  Form,void,,get  Data  Form  To  Submit  build  builder  set  To  set  Type  add  Extension  next  Result  Or  Throw  create  Stanza  Collector  And  Send,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  encrypt  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  get  Registration  Form  send  Registration  Form  destroy  invite  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,Fillable  Form,required  Fields  filled  Required  Fields  missing  Required  Fields  filled  Fields,Fillable  Form  write  List  Multi  write  Text  Single  write  Boolean  write  write  set  Answer  create  Multi  Kind  Fieldbuilder  set  Answer  set  Answer  create  Single  Kind  Field  Builder  set  Answer  write  get  Field  get  Data  Form  To  Submit,0,0
9,send  Configuration  Form,Fillable  Form,void,,get  Data  Form  To  Submit  build  builder  set  To  set  Type  add  Extension  next  Result  Or  Throw  create  Stanza  Collector  And  Send,Fillable  Form,required  Fields  filled  Required  Fields  missing  Required  Fields  filled  Fields,Fillable  Form  write  List  Multi  write  Text  Single  write  Boolean  write  write  set  Answer  create  Multi  Kind  Fieldbuilder  set  Answer  set  Answer  create  Single  Kind  Field  Builder  set  Answer  write  get  Field  get  Data  Form  To  Submit,Multi  User  Chat,logger  known  muc  services  connection  room  multi  User  Chat  Manager  occupants  Map  invitation  Rejection  Listeners  subject  Updated  Listeners  user  Status  Listeners  participant  Status  Listeners  message  Listeners  presence  Listeners  presence  Interceptors  from  Room  Filter  from  Room  Groupchat  Filter  presence  Interceptor  message  Listener  presence  Listener  subject  Listener  decline  filter  declines  Listener  subject  my  Room  Jid  message  Collector  Muc  Create  Config  Form  Handle,Multi  User  Chat  process  Stanza  process  Stanza  process  Stanza  process  Stanza  process  Stanza  get  Room  enter  set  Nickname  get  Enter  Configuration  Builder  create  create  Or  Join  create  Or  Join  encrypt  make  Instant  get  Config  Form  Manager  create  Or  Join  If  Necessary  join  join  join  is  Joined  leave  Sync  leave  get  Config  Form  Manager  get  Configuration  Form  get  Registration  Form  send  Registration  Form  destroy  invite  invite  invite  add  Invitation  Rejection  Listener  remove  Invitation  Rejection  Listener  fire  Invitation  Rejection  Listeners  add  Subject  Updated  Listener  remove  Subject  Updated  Listener  add  Presence  Interceptor  remove  Presence  Interceptor  get  Subject  get  Reserved  Nickname  get  Nickname  change  Nickname  change  Availability  Status  kick  Participant  request  Voice  grant  Voice  grant  Voice  revoke  Voice  revoke  Voice  ban  Users  ban  User  grant  Membership  grant  Membership  revoke  Membership  revoke  Membership  grant  Moderator  grant  Moderator  revoke  Moderator  revoke  Moderator  grant  Ownership  grant  Ownership  revoke  Ownership  revoke  Ownership  grant  Admin  grant  Admin  revoke  Admin  revoke  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Affiliation  By  Admin  change  Role  change  Role  get  Occupants  Count  get  Occupants  get  Occupant  Presence  get  Occupant  add  Participant  Listener  remove  Participant  Listener  get  Owners  get  Admins  get  Members  get  Outcasts  get  Affiliates  By  Admin  get  Moderators  get  Participants  get  Occupants  send  Message  create  Private  Chat  create  Message  build  Message  send  Message  send  Message  poll  Message  next  Message  next  Message  add  Message  Listener  remove  Message  Listener  change  Subject  accept  remove  Connection  Callbacks  user  Has  Left  add  User  Status  Listener  remove  User  Status  Listener  add  Participant  Status  Listener  remove  Participant  Status  Listener  check  Role  Modifications  check  Affiliation  Modifications  check  Presence  Code  get  Xmpp  Connection  to  String,1,0
